,name,homepage,image,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,star_count,description,projectrank,projectrank_placing,closed_issue_count,commit_count,release_count,contributor_count,dependent_project_count,github_dependent_project_count,latest_stable_release_published_at,latest_stable_release_number
0,traingenerator,https://traingenerator.jrieke.com/,https://github.com/jrieke/traingenerator/raw/main/docs/assets/demo.gif,jrieke/traingenerator,ml,True,https://github.com/jrieke/traingenerator,MIT,2020-12-03 16:47:16,2021-01-09 14:31:50,2021-01-03 04:47:54,101.0,7.0,822.0,A web app to generate template code for machine learning.,10,2,,,,,,,,
1,spacy-streamlit,https://share.streamlit.io/ines/spacy-streamlit-demo/master/app.py,https://user-images.githubusercontent.com/13643239/85388081-f2da8700-b545-11ea-9bd4-e303d3c5763c.png,explosion/spacy-streamlit,nlp,True,https://github.com/explosion/spacy-streamlit,MIT,2020-06-23 11:00:08,2020-10-29 20:24:07,2020-10-15 16:34:33,47.0,1.0,317.0,spaCy building blocks and visualizers for Streamlit apps.,12,1,5.0,30.0,5.0,6.0,,,,
2,Insight,https://github.com/abhimishra91/insight,https://github.com/abhimishra91/insight/raw/master/meta/streamlit-NLPfiy.gif,abhimishra91/insight,nlp,True,https://github.com/abhimishra91/insight,GPL-3.0,2020-07-07 07:26:08,2020-09-02 22:26:24,2020-09-02 22:26:05,27.0,4.0,232.0,Repository for Project Insight: NLP as a Service.,10,2,4.0,120.0,,,,,,
3,net2net,https://github.com/CompVis/net2net,,CompVis/net2net,cv,True,https://github.com/CompVis/net2net,,2020-10-21 13:07:40,2020-12-19 10:42:41,2020-12-19 10:42:28,7.0,2.0,99.0,Network-to-Network Translation with Conditional Invertible Neural Networks.,6,3,2.0,45.0,,2.0,,,,
4,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2020-12-20 15:44:53,2020-12-20 15:44:52,14.0,1.0,76.0,Simple web app example using streamlit and FastAPI to serve a PyTorch model.,9,3,4.0,56.0,,2.0,,,,
5,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,daniellewisDL/streamlit-cheat-sheet,extensions,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2021-01-02 18:10:07,2020-12-06 04:06:30,13.0,1.0,74.0,A cheat sheet for streamlit.,9,3,,36.0,,3.0,,,,
6,Drawable Canvas,https://share.streamlit.io/andfanilo/streamlit-drawable-canvas-demo/master/app.py,https://github.com/andfanilo/streamlit-drawable-canvas/raw/master/img/demo.gif,andfanilo/streamlit-drawable-canvas,other,True,https://github.com/andfanilo/streamlit-drawable-canvas,MIT,2020-05-10 15:37:54,2020-11-27 15:00:54,2020-11-27 15:00:52,8.0,9.0,64.0,"Do you like Quick, Draw? Well what if you could train/predict doodles drawn inside Streamlit? Also draws lines,..",13,1,15.0,56.0,,3.0,71.0,71.0,,
7,E2E ML App w/ PyTorch,https://github.com/madewithml/e2e-ml-app-pytorch,,madewithml/e2e-ml-app-pytorch,ml,True,https://github.com/madewithml/e2e-ml-app-pytorch,MIT,2020-04-29 22:50:19,2020-07-29 19:20:26,2020-06-21 00:52:56,15.0,,61.0,"An end-to-end ML applications using PyTorch, W&B, FastAPI, Docker, Streamlit and Heroku https://e2e-ml-app-..",8,3,,19.0,,,,,,
8,ContainDS Dashboards,https://github.com/ideonate/cdsdashboards,https://github.com/ideonate/cdsdashboards/raw/master/docs/_static/screenshots/AppCollage.png,ideonate/cdsdashboards,extensions,True,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31,2021-01-06 09:17:33,2021-01-06 09:17:11,13.0,10.0,60.0,JupyterHub extension for ContainDS Dashboards.,9,3,34.0,360.0,,8.0,,,,
9,Year on Github,http://gh2020.jrieke.com/,https://github.com/jrieke/year-on-github/raw/main/images/demo.gif,jrieke/year-on-github,other,True,https://github.com/jrieke/year-on-github,MIT,2020-12-20 16:18:16,2021-01-07 22:13:24,2021-01-07 22:13:18,,,59.0,Share your Github stats for 2020 on Twitter.,6,3,1.0,,,2.0,,,,
10,streamlit-echarts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,https://github.com/andfanilo/streamlit-echarts/raw/master/img/demo.gif,andfanilo/streamlit-echarts,extensions,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2020-10-16 16:31:54,2020-10-16 16:30:39,7.0,4.0,50.0,A Streamlit custom component to render ECharts in Streamlit.,11,1,1.0,58.0,,4.0,20.0,20.0,,
11,chime soundboard,http://chime-soundboard.herokuapp.com/,,MaxHalford/chime,audio,True,https://github.com/MaxHalford/chime,MIT,2020-10-04 17:34:48,2020-11-25 07:50:20,2020-11-25 07:50:18,4.0,1.0,44.0,Python sound notifications made easy.,8,1,8.0,,,3.0,,,,
12,FarolCovid,https://farolcovid.coronacidades.org/,,ImpulsoGov/farolcovid,sci-tech,True,https://github.com/ImpulsoGov/farolcovid,MIT,2020-04-01 20:48:15,2020-12-19 02:27:05,2020-12-19 02:20:14,7.0,11.0,34.0,. Ferramenta de monitoramento do risco de colapso no sistema de sade em municpios brasileiros com a Covid-19..,11,1,36.0,937.0,,18.0,,,,
13,COCO Explorer,https://github.com/i008/COCO-dataset-explorer,https://github.com/i008/COCO-dataset-explorer/raw/master/static/demo1.png,i008/COCO-dataset-explorer,cv,True,https://github.com/i008/COCO-dataset-explorer,,2020-04-23 09:02:23,2020-10-20 13:50:24,2020-10-20 13:50:22,2.0,,34.0,Streamlit tool to explore coco datasets.,4,3,1.0,16.0,,2.0,,,,
14,Torchserve Dashboard,https://github.com/cceyda/torchserve-dashboard,https://github.com/cceyda/torchserve-dashboard/raw/master/assets/dashboard_demo.gif,cceyda/torchserve-dashboard,ml,True,https://github.com/cceyda/torchserve-dashboard,,2020-09-29 08:49:32,2020-10-15 08:17:41,2020-10-15 08:17:40,,,28.0,Management Dashboard for Torchserve.,6,3,,14.0,3.0,2.0,,,2020-10-15 08:12:54,0.2.3
15,Object detection app,https://github.com/robmarkcole/object-detection-app,https://github.com/robmarkcole/object-detection-app/raw/master/images/usage.jpg,robmarkcole/object-detection-app,cv,True,https://github.com/robmarkcole/object-detection-app,Apache-2.0,2019-12-23 08:24:15,2019-12-23 15:34:56,2019-12-23 15:30:59,9.0,1.0,27.0,Simple object detection app with streamlit.,9,1,,14.0,3.0,,,,2019-12-23 15:34:56,0.3
16,streamlit-observable,https://streamlit-observable.herokuapp.com/,,asg017/streamlit-observable,extensions,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2020-10-15 02:21:38,2020-10-15 02:21:37,4.0,1.0,24.0,Embed Observable notebooks into Streamlit apps!.,10,2,1.0,22.0,,6.0,4.0,4.0,,
