,name,homepage,image,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,release_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads
0,HiPlot,https://facebookresearch.github.io/hiplot/tuto_streamlit.html,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5efcfd29b5f47b2e77291252_Screen%20Recording%202020-07-01%20at%2006.08%20PM.gif,facebookresearch/hiplot,extension,True,https://github.com/facebookresearch/hiplot,MIT,2019-11-08 13:06:41,2020-12-31 14:26:56,2020-12-31 14:19:47,88.0,4.0,41.0,1856.0,109.0,HiPlot makes understanding high dimensional data easy.,2.0,2.0,6.0,13,1,,,,,
1,traingenerator,https://traingenerator.jrieke.com/,https://github.com/jrieke/traingenerator/raw/main/docs/assets/demo.gif,jrieke/traingenerator,ml,True,https://github.com/jrieke/traingenerator,MIT,2020-12-03 16:47:16,2021-01-09 14:31:50,2021-01-03 04:47:54,101.0,7.0,,830.0,,A web app to generate template code for machine learning.,,,,10,2,,,,,
2,Udacity Self-driving Car,https://share.streamlit.io/streamlit/demo-self-driving,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d93ea8434e97414e47f_5e1115140227d02d6777adcb_AV_website_large.gif,streamlit/demo-self-driving,demo,True,https://github.com/streamlit/demo-self-driving,Apache-2.0,2019-09-06 21:02:45,2021-01-04 13:47:46,2021-01-04 13:47:45,219.0,1.0,8.0,724.0,102.0,Streamlit app demonstrating an image browser for the Udacity self-driving-car dataset with realtime object detection..,,,12.0,13,1,,,,,
3,spaCy,https://share.streamlit.io/ines/spacy-streamlit-demo/master/app.py,https://user-images.githubusercontent.com/13643239/85388081-f2da8700-b545-11ea-9bd4-e303d3c5763c.png,explosion/spacy-streamlit,extension,True,https://github.com/explosion/spacy-streamlit,MIT,2020-06-23 11:00:08,2020-10-29 20:24:07,2020-10-15 16:34:33,47.0,1.0,5.0,318.0,30.0,spaCy building blocks and visualizers for Streamlit apps.,,,6.0,12,2,5.0,,,,
4,Insight,https://github.com/abhimishra91/insight,https://github.com/abhimishra91/insight/raw/master/meta/streamlit-NLPfiy.gif,abhimishra91/insight,nlp,True,https://github.com/abhimishra91/insight,GPL-3.0,2020-07-07 07:26:08,2020-09-02 22:26:24,2020-09-02 22:26:05,27.0,4.0,4.0,232.0,120.0,Repository for Project Insight: NLP as a Service.,,,,10,1,,,,,
5,Face-GAN Explorer,https://share.streamlit.io/streamlit/demo-face-gan/,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed14fdf59392828954fa44d_5e11152b0227d05a0277ae20_gan_website_large.gif,streamlit/demo-face-gan,demo,True,https://github.com/streamlit/demo-face-gan,Apache-2.0,2020-02-03 17:15:17,2020-10-15 05:51:22,2020-10-15 05:51:21,43.0,3.0,5.0,163.0,61.0,A demonstration of using a live Tensorflow session to create an interactive face-GAN explorer.,,,11.0,11,2,,,,,
6,Uber Pickups in NYC,https://share.streamlit.io/streamlit/demo-uber-nyc-pickups/,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d215b6f4928a0997155_5e1115200227d0333277addb_uber_website_large.gif,streamlit/demo-uber-nyc-pickups,demo,True,https://github.com/streamlit/demo-uber-nyc-pickups,Apache-2.0,2019-09-18 18:00:32,2021-01-05 12:58:25,2021-01-05 12:58:23,62.0,,3.0,123.0,23.0,A Streamlit demo to interactively visualize Uber pickups in New York City.,,,8.0,11,2,,,,,
7,net2net,https://github.com/CompVis/net2net,,CompVis/net2net,cv,True,https://github.com/CompVis/net2net,,2020-10-21 13:07:40,2020-12-19 10:42:41,2020-12-19 10:42:28,7.0,3.0,2.0,99.0,45.0,Network-to-Network Translation with Conditional Invertible Neural Networks.,,,2.0,6,3,,,,,
8,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2020-12-20 15:44:53,2020-12-20 15:44:52,14.0,1.0,4.0,76.0,56.0,Simple web app example using streamlit and FastAPI to serve a PyTorch model.,,,2.0,9,3,,,,,
9,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,daniellewisDL/streamlit-cheat-sheet,non-ml,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2021-01-02 18:10:07,2020-12-06 04:06:30,13.0,1.0,,74.0,36.0,A cheat sheet for streamlit.,,,3.0,9,1,,,,,
