,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,new_addition,trending,github_release_downloads,monthly_downloads,updated_github_id
0,🤗 Datasets Viewer,https://huggingface.co/datasets/viewer/,huggingface/datasets,nlp,True,https://github.com/huggingface/datasets,Apache-2.0,2020-03-26 09:23:22,2021-04-26 10:08:15,2021-04-26 10:08:14,842.0,230.0,442.0,7287.0,1552.0,2021-04-20 17:05:21,1.6.0,18.0,"The largest hub of ready-to-use NLP datasets for ML models with fast, easy-to-use and efficient data manipulation tools.",631.0,631.0,260.0,25,1,,,,,,
1,HiPlot,https://facebookresearch.github.io/hiplot/tuto_streamlit.html,facebookresearch/hiplot,extension,True,https://github.com/facebookresearch/hiplot,MIT,2019-11-08 13:06:41,2021-04-20 08:36:57,2021-04-20 08:29:48,93.0,8.0,53.0,2083.0,129.0,,,,HiPlot makes understanding high dimensional data easy.,2.0,2.0,6.0,13,1,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5efcfd29b5f47b2e77291252_Screen%20Recording%202020-07-01%20at%2006.08%20PM.gif,,,,,
2,Taming Transformers,https://github.com/CompVis/taming-transformers,CompVis/taming-transformers,cv,True,https://github.com/CompVis/taming-transformers,MIT,2020-12-17 14:47:06,2021-03-18 15:48:33,2021-03-10 15:47:31,120.0,24.0,18.0,1246.0,54.0,,,,,5.0,5.0,2.0,11,2,,True,,,,
3,Traingenerator,https://traingenerator.jrieke.com/,jrieke/traingenerator,ml,True,https://github.com/jrieke/traingenerator,MIT,2020-12-03 16:47:16,2021-03-03 18:43:40,2021-01-20 23:05:06,129.0,7.0,3.0,981.0,,,,,A web app to generate template code for machine learning.,,,3.0,10,2,https://github.com/jrieke/traingenerator/raw/main/docs/assets/demo.gif,,,,,
4,Udacity Self-driving Car,https://share.streamlit.io/streamlit/demo-self-driving,streamlit/demo-self-driving,demo,True,https://github.com/streamlit/demo-self-driving,Apache-2.0,2019-09-06 21:02:45,2021-04-08 10:55:16,2021-01-04 13:47:45,250.0,1.0,8.0,801.0,102.0,,,,Streamlit app demonstrating an image browser for the Udacity self-driving-car dataset with realtime object detection..,,,12.0,13,1,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d93ea8434e97414e47f_5e1115140227d02d6777adcb_AV_website_large.gif,,,,,
5,spaCy,https://share.streamlit.io/ines/spacy-streamlit-demo/master/app.py,explosion/spacy-streamlit,extension,True,https://github.com/explosion/spacy-streamlit,MIT,2020-06-23 11:00:08,2021-03-11 18:43:02,2021-03-11 18:34:18,53.0,3.0,6.0,381.0,35.0,2021-03-12 09:16:02,1.0.0,7.0,spaCy building blocks and visualizers for Streamlit apps.,,,7.0,15,1,https://user-images.githubusercontent.com/13643239/85388081-f2da8700-b545-11ea-9bd4-e303d3c5763c.png,,2.0,,,
6,Insight,https://github.com/abhimishra91/insight,abhimishra91/insight,nlp,True,https://github.com/abhimishra91/insight,GPL-3.0,2020-07-07 07:26:08,2020-09-02 22:26:24,2020-09-02 22:26:05,29.0,4.0,4.0,251.0,120.0,,,,Repository for Project Insight: NLP as a Service.,,,,10,2,https://github.com/abhimishra91/insight/raw/master/meta/streamlit-NLPfiy.gif,,,,,
7,Face-GAN Explorer,https://share.streamlit.io/streamlit/demo-face-gan/,streamlit/demo-face-gan,demo,True,https://github.com/streamlit/demo-face-gan,Apache-2.0,2020-02-03 17:15:17,2020-10-15 05:51:22,2020-10-15 05:51:21,55.0,3.0,6.0,192.0,61.0,,,,A demonstration of using a live Tensorflow session to create an interactive face-GAN explorer.,,,11.0,11,2,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed14fdf59392828954fa44d_5e11152b0227d05a0277ae20_gan_website_large.gif,,,,,
8,Uber Pickups in NYC,https://share.streamlit.io/streamlit/demo-uber-nyc-pickups/,streamlit/demo-uber-nyc-pickups,demo,True,https://github.com/streamlit/demo-uber-nyc-pickups,Apache-2.0,2019-09-18 18:00:32,2021-01-05 12:58:25,2021-01-05 12:58:23,72.0,,3.0,147.0,23.0,,,,A Streamlit demo to interactively visualize Uber pickups in New York City.,,,8.0,10,3,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d215b6f4928a0997155_5e1115200227d0333277addb_uber_website_large.gif,,-1.0,,,
9,net2net,https://github.com/CompVis/net2net,CompVis/net2net,cv,True,https://github.com/CompVis/net2net,,2020-10-21 13:07:40,2021-04-20 07:27:17,2021-04-20 07:27:09,9.0,4.0,2.0,129.0,46.0,,,,Network-to-Network Translation with Conditional Invertible Neural Networks.,,,2.0,7,3,,,,,,
10,Year on Github,http://gh2020.jrieke.com/,jrieke/year-on-github,non-ml,True,https://github.com/jrieke/year-on-github,MIT,2020-12-20 16:18:16,2021-02-01 00:33:02,2021-01-14 14:07:56,4.0,,1.0,108.0,,,,,Share your Github stats for 2020 on Twitter.,,,2.0,7,2,https://github.com/jrieke/year-on-github/raw/main/images/demo.gif,,,,,
