,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,image,trending,updated_github_id,github_release_downloads,monthly_downloads
0,🤗 Datasets Viewer,https://huggingface.co/datasets/viewer/,huggingface/datasets,nlp,True,https://github.com/huggingface/datasets,Apache-2.0,2020-03-26 09:23:22,2023-04-17 06:03:44,2023-04-14 13:08:41,2050.0,500.0,1651.0,15871.0,2023-03-29 18:23:05,2.11.0,66.0,"The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools.",13947.0,13947.0,504.0,26,1.0,,,,,,
1,Taming Transformers,https://github.com/CompVis/taming-transformers,CompVis/taming-transformers,cv,True,https://github.com/CompVis/taming-transformers,MIT,2020-12-17 14:47:06,2023-04-04 14:59:29,2022-11-07 20:00:25,856.0,112.0,65.0,4098.0,,,,"Taming Transformers for High-Resolution Image Synthesis, CVPR 2021 (Oral).",139.0,139.0,8.0,17,1.0,96.0,,,,,
2,HiPlot,https://facebookresearch.github.io/hiplot/tuto_streamlit.html,facebookresearch/hiplot,extension,True,https://github.com/facebookresearch/hiplot,MIT,2019-11-08 13:06:41,2023-03-15 06:44:08,2023-03-03 12:36:36,120.0,13.0,71.0,2460.0,2021-11-04 14:24:43,0.1.32,7.0,HiPlot makes understanding high dimensional data easy.,266.0,266.0,8.0,18,1.0,,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5efcfd29b5f47b2e77291252_Screen%20Recording%202020-07-01%20at%2006.08%20PM.gif,,,,
3,Traingenerator,https://traingenerator.jrieke.com/,jrieke/traingenerator,ml,True,https://github.com/jrieke/traingenerator,MIT,2020-12-03 16:47:16,2022-06-30 14:08:50,2022-06-30 14:05:23,170.0,7.0,3.0,1263.0,,,,A web app to generate template code for machine learning.,,,3.0,12,1.0,,https://github.com/jrieke/traingenerator/raw/main/docs/assets/demo.gif,,,,
4,Udacity Self-driving Car,https://share.streamlit.io/streamlit/demo-self-driving,streamlit/demo-self-driving,demo,True,https://github.com/streamlit/demo-self-driving,Apache-2.0,2019-09-06 21:02:45,2023-02-11 00:44:55,2022-06-22 11:57:28,385.0,1.0,9.0,1035.0,,,,Streamlit app demonstrating an image browser for the Udacity self-driving-car dataset with realtime object detection..,,,15.0,13,1.0,117.0,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d93ea8434e97414e47f_5e1115140227d02d6777adcb_AV_website_large.gif,,,,
5,WebRTC,https://streamlit-webrtc-example.herokuapp.com/,whitphx/streamlit-webrtc,extension,True,https://github.com/whitphx/streamlit-webrtc,MIT,2021-01-04 14:13:24,2023-04-12 17:04:46,2023-03-08 06:53:14,108.0,51.0,111.0,739.0,2023-03-02 07:34:41,0.45.0,47.0,"Real-time video and audio streams over the network, with Streamlit.",1694.0,1694.0,3.0,19,1.0,,https://aws1.discourse-cdn.com/business7/uploads/streamlit/original/2X/a/af111a7393c77cb69d7712ac8e71ca862feaeb24.gif,6.0,,,
6,AgGrid,https://share.streamlit.io/pablocfonseca/streamlit-aggrid/main/example.py,PablocFonseca/streamlit-aggrid,extension,True,https://github.com/PablocFonseca/streamlit-aggrid,MIT,2020-12-17 22:57:06,2023-04-17 11:26:11,2023-03-09 17:56:26,135.0,102.0,76.0,670.0,,,,AgGrid is an awesome grid for web frontend.,2604.0,2604.0,18.0,16,2.0,,https://github.com/PablocFonseca/streamlit-aggrid/raw/main/group_selection_example.gif,7.0,,,
7,spaCy,https://share.streamlit.io/ines/spacy-streamlit-demo/master/app.py,explosion/spacy-streamlit,extension,True,https://github.com/explosion/spacy-streamlit,MIT,2020-06-23 11:00:08,2023-02-27 08:32:40,2023-02-27 07:57:36,101.0,4.0,19.0,639.0,2023-02-27 08:57:11,1.0.5,11.0,spaCy building blocks and visualizers for Streamlit apps.,,,12.0,15,2.0,81.0,https://user-images.githubusercontent.com/13643239/85388081-f2da8700-b545-11ea-9bd4-e303d3c5763c.png,,,,
8,Drawable Canvas,https://share.streamlit.io/andfanilo/streamlit-drawable-canvas-demo/master/app.py,andfanilo/streamlit-drawable-canvas,extension,True,https://github.com/andfanilo/streamlit-drawable-canvas,MIT,2020-05-10 15:37:54,2023-03-20 19:22:24,2022-09-08 12:05:37,50.0,31.0,59.0,376.0,2021-12-12 13:53:43,0.8.0,1.0,"Do you like Quick, Draw? Well what if you could train/predict doodles drawn inside Streamlit? Also draws lines,..",876.0,876.0,8.0,17,1.0,,https://github.com/andfanilo/streamlit-drawable-canvas/raw/develop/img/demo.gif,,,,
9,Annotated Text,https://github.com/tvst/st-annotated-text,tvst/st-annotated-text,extension,True,https://github.com/tvst/st-annotated-text,Apache-2.0,2020-08-02 21:15:25,2023-04-06 17:59:14,2023-04-06 17:59:14,30.0,9.0,17.0,350.0,,,,A simple component to display annotated text in Streamlit apps.,822.0,822.0,5.0,16,2.0,40.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f47a38cd2fa4ae6e089154c_annotated-text.jpg,8.0,,,
